Province_ID,No,Kabupaten/Kota,Jumlah Koperasi,Koperasi Memiliki NIB,Koperasi Memiliki NPWP,Koperasi Telah RAT (2025),Simpanan Pokok,Simpanan Wajib,Volume Transaksi (2026),Nilai Transaksi (2026)
1,1,KAB. ACEH BARAT,321,264,321,129,26.100.000,5.045.010,0,Rp 0
1,2,KAB. ACEH BARAT DAYA,152,72,152,149,13.000.000,1.325.000,0,Rp 0
1,3,KAB. ACEH BESAR,603,383,603,538,50.675.000,19.625.000,26.692,Rp 48.818.180
1,4,KAB. ACEH JAYA,172,87,172,172,50.000,0,0,Rp 0
1,5,KAB. ACEH SELATAN,261,242,261,139,7.375.000,640.000,0,Rp 0
1,6,KAB. ACEH SINGKIL,116,98,116,45,9.000.000,3.580.000,0,Rp 0
1,7,KAB. ACEH TAMIANG,216,198,216,167,4.950.000,5.980.000,0,Rp 0
1,8,KAB. ACEH TENGAH,298,248,298,249,9.345.000,1.420.000,0,Rp 0
1,9,KAB. ACEH TENGGARA,386,102,386,280,5.250.000,340.000,850,Rp 2.125.000
1,10,KAB. ACEH TIMUR,521,364,517,167,11.700.000,3.395.030,20,Rp 5.400.000
1,11,KAB. ACEH UTARA,852,570,852,462,70.057.000,8.055.000,3,Rp 53.000
1,12,KAB. BENER MERIAH,233,107,233,87,5.170.000,10.870.000,0,Rp 0
1,13,KAB. BIREUEN,610,541,610,596,21.350.000,4.080.000,153.180,Rp 279.052.960
1,14,KAB. GAYO LUES,136,102,136,32,100.000,0,0,Rp 0
1,15,KAB. NAGAN RAYA,222,149,222,160,3.950.000,1.760.000,0,Rp 0
1,16,KAB. PIDIE,751,348,750,580,15.322.200,4.935.020,0,Rp 0
1,17,KAB. PIDIE JAYA,222,196,222,222,50.000,0,0,Rp 0
1,18,KAB. SIMEULUE,138,113,138,104,14.975.000,1.220.000,0,Rp 0
1,19,KOTA BANDA ACEH,90,52,90,35,16.100.000,4.020.000,155,Rp 815.045
1,20,KOTA LANGSA,66,66,66,65,21.225.000,5.715.000,3.148,Rp 175.023.600
1,21,KOTA LHOKSEUMAWE,68,54,68,50,480.000,825.000,0,Rp 0
1,22,KOTA SABANG,18,18,18,18,18.200.000,12.505.000,0,Rp 0
1,23,KOTA SUBULUSSALAM,82,77,82,28,8.330.000,4.160.000,0,Rp 0
2,1,KAB. ASAHAN,204,177,204,133,20.570.000,12.100.000,38.991,Rp 183.122.320
2,2,KAB. BATU BARA,151,103,151,123,150.000,60.000,0,Rp 0
2,3,KAB. DAIRI,169,151,166,44,4.551.900,1.620.370,2,Rp 10.000
2,4,KAB. DELI SERDANG,394,257,391,141,98.560.000,24.900.000,123.266,Rp 601.977.720
2,5,KAB. HUMBANG HASUNDUTAN,154,138,154,12,420.000,70.000,0,Rp 0
2,6,KAB. KARO,269,60,266,168,17.280.000,29.350.000,7.245,Rp 82.628.000
2,7,KAB. LABUHANBATU,98,86,98,34,1.405.000,290.000,151.115,Rp 1.814.720.000
2,8,KAB. LABUHANBATU SELATAN,54,48,54,29,100.000,0,0,Rp 0
2,9,KAB. LABUHANBATU UTARA,90,61,90,39,9.605.000,4.180.000,4.865,Rp 57.745.000
2,10,KAB. LANGKAT,277,276,277,88,65.595.000,7.230.000,0,Rp 0
2,11,KAB. MANDAILING NATAL,404,312,404,70,59.670.000,1.430.000,42.504,Rp 257.735.960
2,12,KAB. NIAS,170,170,170,61,5.735.000,2.390.000,0,Rp 0
2,13,KAB. NIAS BARAT,106,36,101,42,6.900.000,1.595.000,0,Rp 0
2,14,KAB. NIAS SELATAN,462,321,439,30,10.480.000,960.000,0,Rp 0
2,15,KAB. NIAS UTARA,113,78,110,30,13.550.000,2.195.000,0,Rp 0
2,16,KAB. PADANG LAWAS,304,275,304,215,5.900.000,4.020.000,0,Rp 0
2,17,KAB. PADANG LAWAS UTARA,387,368,387,342,17.980.000,4.150.000,0,Rp 0
2,18,KAB. PAKPAK BHARAT,52,43,52,43,22.621.200,10.850.000,0,Rp 0
2,19,KAB. SAMOSIR,134,48,134,57,2.170.000,430.000,0,Rp 0
2,20,KAB. SERDANG BEDAGAI,236,187,235,117,35.201.625,19.305.000,1.789,Rp 11.419.600
2,21,KAB. SIMALUNGUN,413,394,413,289,19.260.000,8.740.000,48.238,Rp 283.950.800
2,22,KAB. TAPANULI SELATAN,248,229,248,75,21.103.250,3.435.000,40.326,Rp 520.192.500
2,23,KAB. TAPANULI TENGAH,215,139,211,90,250.000,0,2.010,Rp 29.148.000
2,24,KAB. TAPANULI UTARA,251,235,251,46,5.400.000,7.460.000,50,Rp 565.000
2,25,KAB. TOBA,243,212,243,107,61.380.000,21.650.030,0,Rp 0
2,26,KOTA BINJAI,37,37,37,28,3.450.000,2.570.000,0,Rp 0
